lr,step,time,train_loss,train_metric,val_loss,val_metric
0.0100,500.0,1789.9236,-0.9078,,-0.9249,
0.0100,1000.0,1791.9238,-0.9265,,-0.9268,
0.0100,1500.0,1793.0873,-0.9317,,-0.9377,
0.0100,2000.0,1792.7264,-0.9357,,-0.9396,
0.0100,2500.0,1792.1346,-0.9401,,-0.9416,
0.0050,3000.0,1792.2538,-0.9410,,-0.9387,
0.0050,3500.0,1792.3121,-0.9452,,-0.9440,
0.0050,4000.0,1791.6355,-0.9471,,-0.9477,
0.0050,4500.0,1791.5259,-0.9470,,-0.9483,
0.0050,5000.0,1792.1767,-0.9469,,-0.9484,
0.0050,5500.0,1791.9785,-0.9489,,-0.9487,
0.0025,6000.0,1792.6496,-0.9490,,-0.9468,
0.0025,6500.0,1791.5272,-0.9498,,-0.9509,
0.0025,7000.0,1791.9324,-0.9513,,-0.9511,
0.0025,7500.0,1791.7583,-0.9513,,-0.9519,
0.0025,8000.0,1791.7505,-0.9519,,-0.9520,
0.0025,8500.0,1791.8522,-0.9521,,-0.9513,
0.0013,9000.0,1791.6764,-0.9521,,-0.9524,
0.0013,9500.0,1792.0868,-0.9533,,-0.9525,
0.0013,10000.0,1791.8630,-0.9540,,-0.9532,
